Site Description,Histology,Histology Description,Histology/Behavior,Histology/Behavior Description,,,,,
BASE OF TONGUE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9691/3,"Follicular lymphoma, grade 2",,,,,
BASE OF TONGUE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9695/3,"Follicular lymphoma, grade 1",,,,,
BASE OF TONGUE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9698/3,"Follicular lymphoma, grade 3",,,,,
BASE OF TONGUE,969,"FOLLIC. & MARGINAL LYMPH, NOS",9699/3,"Marginal zone B-cell lymphoma, NOS",,,,,
BASE OF TONGUE,970,T-CELL LYMPHOMAS,9701/3,Sezary syndrome,,,,,
BASE OF TONGUE,970,T-CELL LYMPHOMAS,9702/3,"Mature T-cell lymphoma, NOS",,,,,
BASE OF TONGUE,970,T-CELL LYMPHOMAS,9705/3,Angioimmunoblastic T-cell lymphoma,,,,,
BASE OF TONGUE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9712/3,Intravascular large B-cell lymphoma,,,,,
BASE OF TONGUE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9714/3,"Anaplastic large cell lymphoma, T-cell and Null cell type",,,,,
BASE OF TONGUE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9715/3,"Anaplastic large cell lymphoma, ALK negative",,,,,
BASE OF TONGUE,971,OTHER SPEC. NON-HODGKIN LYMPHOMA,9719/3,"NK/T-cell lymphoma, nasal and nasal-type",,,,,
BASE OF TONGUE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9724/3,SystemicEBV pos. T-cell lymphoproliferative disease of childhood,,,,,
BASE OF TONGUE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9727/3,"Precursor cell lymphoblastic lymphoma, NOS",,,,,
BASE OF TONGUE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9728/3,Precursor B-cell lymphoblastic lymphoma,,,,,
BASE OF TONGUE,972,PRECURS. CELL LYMPHOBLASTIC LYMPH.,9729/3,Precursor T-cell lymphoblastic lymphoma,,,,,
BASE OF TONGUE,973,PLASMA CELL TUMORS,9731/3,"Plasmacytoma, NOS",,,,,
