,Foundation.URI,Code,Title,DepthInKind,isLeaf,icd_code
1746,http://id.who.int/icd/entity/156186129,2C77.2,Adenosquamous carcinoma of cervix uteri,2,TRUE,2C77.2 - Adenosquamous carcinoma of cervix uteri
1747,http://id.who.int/icd/entity/128151553,2C77.3,Neuroendocrine carcinoma of cervix uteri,2,TRUE,2C77.3 - Neuroendocrine carcinoma of cervix uteri
1748,,2C77.Y,Other specified malignant neoplasms of cervix uteri,2,TRUE,2C77.Y - Other specified malignant neoplasms of cervix uteri
1749,,2C77.Z,"Malignant neoplasms of cervix uteri, unspecified",2,TRUE,"2C77.Z - Malignant neoplasms of cervix uteri, unspecified"
1750,http://id.who.int/icd/entity/1551596364,2C78,"Malignant neoplasms of uterus, part not specified",1,TRUE,"2C78 - Malignant neoplasms of uterus, part not specified"
1751,http://id.who.int/icd/entity/367402464,2C79,Malignant neoplasm involving overlapping sites of female genital organs,1,TRUE,2C79 - Malignant neoplasm involving overlapping sites of female genital organs
1752,,2C7Y,Other specified malignant neoplasms of female genital organs,1,TRUE,2C7Y - Other specified malignant neoplasms of female genital organs
1753,,2C7Z,"Malignant neoplasms of female genital organs, unspecified",1,TRUE,"2C7Z - Malignant neoplasms of female genital organs, unspecified"
1754,http://id.who.int/icd/entity/673566475,2C80,Malignant neoplasms of testis,1,FALSE,2C80 - Malignant neoplasms of testis
1755,http://id.who.int/icd/entity/1915129755,2C80.2,Germ cell tumour of testis,2,TRUE,2C80.2 - Germ cell tumour of testis
1756,,2C80.Y,Other specified malignant neoplasms of testis,2,TRUE,2C80.Y - Other specified malignant neoplasms of testis
1757,,2C80.Z,"Malignant neoplasms of testis, unspecified",2,TRUE,"2C80.Z - Malignant neoplasms of testis, unspecified"
1758,http://id.who.int/icd/entity/969101922,2C81,Malignant neoplasms of penis,1,FALSE,2C81 - Malignant neoplasms of penis
1759,http://id.who.int/icd/entity/186592209,2C81.0,Squamous cell carcinoma of penis,2,TRUE,2C81.0 - Squamous cell carcinoma of penis
1760,http://id.who.int/icd/entity/574863499,2C81.1,Melanoma of penis,2,TRUE,2C81.1 - Melanoma of penis
1761,,2C81.Y,Other specified malignant neoplasm of penis,2,TRUE,2C81.Y - Other specified malignant neoplasm of penis
1762,,2C81.Z,"Malignant neoplasms of penis, unspecified",2,TRUE,"2C81.Z - Malignant neoplasms of penis, unspecified"
1763,http://id.who.int/icd/entity/1552457716,2C82,Malignant neoplasms of prostate,1,FALSE,2C82 - Malignant neoplasms of prostate
1764,http://id.who.int/icd/entity/1510677183,2C82.0,Adenocarcinoma of prostate,2,TRUE,2C82.0 - Adenocarcinoma of prostate
1765,,2C82.Y,Other specified malignant neoplasms of prostate,2,TRUE,2C82.Y - Other specified malignant neoplasms of prostate
1766,,2C82.Z,"Malignant neoplasms of prostate, unspecified",2,TRUE,"2C82.Z - Malignant neoplasms of prostate, unspecified"
1767,http://id.who.int/icd/entity/5747278,2C83,Malignant neoplasms of scrotum,1,FALSE,2C83 - Malignant neoplasms of scrotum
1768,http://id.who.int/icd/entity/1877062675,2C83.0,Squamous cell carcinoma of scrotum,2,TRUE,2C83.0 - Squamous cell carcinoma of scrotum
1769,,2C83.Y,Other specified malignant neoplasms of scrotum,2,TRUE,2C83.Y - Other specified malignant neoplasms of scrotum
1770,,2C83.Z,"Malignant neoplasms of scrotum, unspecified",2,TRUE,"2C83.Z - Malignant neoplasms of scrotum, unspecified"
