"","PROC.CODE","PROCEDURE.DESCRIPTION"
"1438","49496","RPR ING HERNIA BABY BLOCKED        "
"1439","49500","RPR ING HERNIA INIT REDUCE         "
"1440","49501","RPR ING HERNIA INIT BLOCKED        "
"1441","49505","PRP I/HERN INIT REDUC >5 YR"
"1442","49506","REPAIR INGUINAL HERNIAS            "
"1443","49507","PRP I/HERN INIT BLOCK >5 YR"
"1444","49510","REPAIR INGUINAL HERNIA, AGE 5 OR OV"
"1445","49520","REREPAIR ING HERNIA REDUCE         "
"1446","49521","REREPAIR ING HERNIA BLOCKED        "
"1447","49525","REPAIR ING HERNIA SLIDING          "
"1448","49530","REPAIR INGUINAL HERNIA, ANY AGE; IN"
"1449","49535","REPAIR INGUINAL HERNIA, ANY AGE; ST"
"1450","49540","REPAIR LUMBAR HERNIA               "
"1451","49550","RPR REM HERNIA INIT REDUCE         "
"1452","49551","REPAIR FEMORAL HERNIA,BILATERAL    "
"1453","49552","REPAIR FEMORAL HERNIA, HENRY APPROA"
"1454","49553","RPR FEM HERNIA INIT BLOCKED        "
"1455","49555","REREPAIR FEM HERNIA REDUCE         "
"1456","49557","REREPAIR FEM HERNIA BLOCKED        "
"1457","49560","RPR VENTRAL HERN INIT REDUC        "
"1458","49561","RPR VENTRAL HERN INIT BLOCK        "
"1459","49565","REREPAIR VENTRL HERN REDUCE        "
"1460","49566","REREPAIR VENTRL HERN BLOCK         "
"1461","49568","HERNIA REPAIR W/MESH               "
"1462","49570","RPR EPIGASTRIC HERN REDUCE         "
"1463","49572","RPR EPIGASTRIC HERN BLOCKED        "
"1464","49575","REPAIR EPIGASTRIC HERNIA, PROPERITO"
"1465","49580","RPR UMBIL HERN REDUC < 5 YR"
"1466","49581","REPAIR UMBILICAL HERNIA; AGE 5 OR O"
"1467","49582","RPR UMBIL HERN BLOCK < 5 YR"
"1468","49585","RPR UMBIL HERN REDUC > 5 YR"
"1469","49587","RPR UMBIL HERN BLOCK > 5 YR"
"1470","49590","REPAIR SPIGELIAN HERNIA            "
"1471","49600","REPAIR UMBILICAL LESION            "
"1472","49630","REDUCTION OF TORSION, OMENTUM      "
"1473","49635","OMENTOPEXY FOR ESTABLISHING COLLATE"
"1474","49640","OMENTOPLASTY (OMENTAL FLAP RECONSTR"
"1475","49650","LAP ING HERNIA REPAIR INIT         "
"1476","49651","LAP ING HERNIA REPAIR RECUR        "
"1477","49652","LAP VENT/ABD HERNIA REPAIR         "
"1478","49653","LAP VENT/ABD HERN PROC COMP        "
"1479","49654","LAP INC HERNIA REPAIR              "
"1480","49655","LAP INC HERN REPAIR COMP           "
"1481","49656","LAP INC HERNIA REPAIR RECUR        "
"1482","49657","LAP INC HERN RECUR COMP            "
"1483","49659","LAPARO PROC HERNIA REPAIR          "
"1484","49900","REPAIR OF ABDOMINAL WALL           "
"1485","49904","OMENTAL FLAP EXTRA-ABDOM           "
"1486","49905","OMENTAL FLAP INTRA-ABDOM           "
"1487","49906","FREE OMENTAL FLAP MICROVASC        "
"1488","49910","SUTURE OF OMENTUM, OMENTORRHAPHY FO"
"1489","49999","ABDOMEN SURGERY PROCEDURE          "
"1490","50010","RENAL EXPLORATION"
"1491","50020","RENAL ABSCESS OPEN DRAIN           "
"1492","50021","RENAL ABSCESS PERCUT DRAIN         "
"1493","50040","DRAINAGE OF KIDNEY                 "
"1494","50045","EXPLORATION OF KIDNEY              "
"1495","5005F","PT COUNSLD ON EXAM FOR MOLES       "
"1496","50060","NEPHROLITHOTOMY; REMOVAL OF CALCULU"
"1497","50065","INCISION OF KIDNEY                 "
"1498","50075","NEPHROLITHOTOMY; REMOVAL OF LARGE S"
"1499","50080","REMOVAL OF KIDNEY STONE            "
"1500","5010F","MACUL RESULT PHY/QHP MNG DM        "
"1501","50100","REVISE KIDNEY BLOOD VESSELS        "
"1502","50125","EXPLORE AND DRAIN KIDNEY           "
"1503","50135","PYELOTOMY; COMPLICATED (EG, SECONDA"
"1504","5015F","DOC FX & TEST/TXMNT FOR OP         "
"1505","5020F","TXMNTS 2 PHYS/QHP BY 1 MON"
"1506","50200","RENAL BIOPSY PERQ                  "
"1507","50205","RENAL BIOPSY OPEN                  "
"1508","50220","REMOVE KIDNEY OPEN                 "
"1509","50225","REMOVAL KIDNEY OPEN COMPLEX        "
"1510","50230","REMOVAL KIDNEY OPEN RADICAL        "
"1511","50234","REMOVAL OF KIDNEY & URETER         "
"1512","50240","NEPHRECTOMY, PARTIAL               "
"1513","50250","CRYOABLATE RENAL MASS OPEN         "
"1514","50280","REMOVAL OF KIDNEY LESION           "
"1515","50300","REMOVE CADAVER DONOR KIDNEY        "
"1516","50320","REMOVE KIDNEY LIVING DONOR         "
"1517","50323","PREP CADAVER RENAL ALLOGRAFT       "
"1518","50325","PREP DONOR RENAL GRAFT             "
"1519","50327","PREP RENAL GRAFT/VENOUS            "
"1520","50328","PREP RENAL GRAFT/ARTERIAL          "
"1521","50329","PREP RENAL GRAFT/URETERAL          "
"1522","50340","RECIPIENT NEPHRECTOMY (SEPARATE PRO"
"1523","50360","TRANSPLANTATION OF KIDNEY          "
"1524","50365","RENAL ALLOTRANSPLANTATION, IMPLANTA"
"1525","50366","RENAL HOMOTRANSPLANTATION, IMPLANTA"
"1526","50370","REMOVAL OF TRANSPLANTED RENAL ALLOG"
"1527","50380","RENAL AUTOTRANSPLANTATION, REIMPLAN"
"1528","50382","CHANGE URETER STENT PERCUT         "
"1529","50384","REMOVE URETER STENT PERCUT         "
"1530","50385","CHANGE STENT VIA TRANSURETH        "
"1531","50386","REMOVE STENT VIA TRANSURETH        "
"1532","50387","CHANGE NEPHROURETERAL CATH         "
"1533","50389","REMOVE RENAL TUBE W/FLUORO         "
"1534","50390","DRAINAGE OF KIDNEY LESION          "
"1535","50391","INSTLL RX AGNT INTO RNAL TUB       "
"1536","50392","INTRODUCTION OF INTRACATHETER OR CA"
"1537","50393","INTRODUCTION OF URETERAL CATHETER O"
"1538","50394","INJECTION PROCEDURE FOR PYELOGRAPHY"
"1539","50395","INTRODUCTION OF GUIDE INTO RENAL PE"
"1540","50396","MEASURE KIDNEY PRESSURE            "
"1541","50398","CHANGE OF NEPHROSTOMY OR PYELOSTOMY"
"1542","50400","REVISION OF KIDNEY/URETER          "
"1543","50420","FIXATION OF KIDNEY                 "
"1544","50430","NJX PX NFROSGRM &/URTRGRM          "
"1545","50432","PLMT NEPHROSTOMY CATHETER          "
"1546","50433","PLMT NEPHROURETERAL CATHETER       "
"1547","50434","CONVERT NEPHROSTOMY CATHETER       "
"1548","50435","EXCHANGE NEPHROSTOMY CATH          "
"1549","50436","DILAT XST TRC NDURLGC PX           "
"1550","50437","DILAT XST TRC NEW ACCESS RCS       "
"1551","5050F","PLAN 2 MAIN DR BY 1 MONTH"
"1552","50500","NEPHRORRHAPHY, SUTURE OF KIDNEY WOU"
"1553","50520","CLOSE KIDNEY-SKIN FISTULA          "
"1554","50525","CLOSE NEPHROVISCERAL FISTULA       "
"1555","50540","SYMPHYSIOTOMY FOR HORSESHOE KIDNEY "
"1556","50541","LAPARO ABLATE RENAL CYST           "
"1557","50542","LAPARO ABLATE RENAL MASS           "
"1558","50543","LAPAROSCOPY, SURGICAL; PARTIAL NEPH"
"1559","50544","LAPAROSCOPY PYELOPLASTY            "
"1560","50545","LAPARO RADICAL NEPHRECTOMY         "
"1561","50546","LAPAROSCOPIC NEPHRECTOMY           "
"1562","50547","LAPARO REMOVAL DONOR KIDNEY        "
"1563","50548","LAPARO REMOVE W/URETER             "
"1564","50549","LAPAROSCOPE PROC RENAL             "
"1565","50550","VISUALIZATION OF KIDNEY            "
"1566","50551","KIDNEY ENDOSCOPY                   "
"1567","50554","VISUALIZATION/BIOPSY KIDNEY        "
"1568","50555","KIDNEY ENDOSCOPY & BIOPSY          "
"1569","50556","TREATMENT OF KIDNEY LESION         "
"1570","50557","KIDNEY ENDOSCOPY & TREATMENT       "
"1571","50558","RENAL ENDOSCOPY BIOPSY HOSPITAL    "
"1572","50559","RENAL ENDOSCOPY THROUGH ESTABLISHED"
"1573","50562","RENAL SCOPE W/TUMOR RESECT         "
"1574","50578","RENAL ENDOSCOPY/RADIOTRACER        "
"1575","50590","FRAGMENTING OF KIDNEY STONE        "
"1576","50592","PERC RF ABLATE RENAL TUMOR         "
"1577","50593","PERC CRYO ABLATE RENAL TUM         "
"1578","5060F","FNDNGS MAMMO 2PT W/IN 3 DAYS"
"1579","50600","EXPLORATION OF URETER              "
"1580","50605","INSERT URETERAL SUPPORT            "
"1581","50606","ENDOLUMINAL BX URTR RNL PLVS       "
"1582","50610","REMOVAL OF URETER STONE            "
"1583","5062F","MAMMO RESULT COM TO PT 5 DAY"
"1584","50650","REMOVAL OF URETER                  "
"1585","50684","INJECTION FOR URETER X-RAY         "
"1586","50686","MEASURE URETER PRESSURE            "
"1587","50688","CHANGE OF URETER TUBE/STENT        "
"1588","50693","PLMT URETERAL STENT PRQ            "
"1589","50700","REVISION OF URETER                 "
"1590","50705","URETERAL EMBOLIZATION/OCCL         "
"1591","50706","BALLOON DILATE URTRL STRIX         "
"1592","50715","RELEASE OF URETER                  "
"1593","50716","URETEROLYSIS, WITH OR WITHOUT REPOS"
"1594","50725","RELEASE/REVISE URETER              "
"1595","50727","REVISION OF URINARY-CUTANEOUS ANAST"
"1596","50740","FUSION OF URETER & KIDNEY          "
"1597","50760","FUSION OF URETERS                  "
"1598","50770","SPLICING OF URETERS                "
"1599","50780","REIMPLANT URETER IN BLADDER        "
"1600","50781","URETERONEOCYSTOSTOMY, ANASTOMOSIS O"
"1601","50786","URETERONEOCYSTOSTOMY, WITH BLADDER "
"1602","50800","IMPLANT URETER IN BOWEL            "
"1603","50801","URETEROENTEROSTOMY, DIRECT ANASTOMO"
"1604","50810","FUSION OF URETER & BOWEL           "
"1605","50815","URINE SHUNT TO INTESTINE           "
"1606","50816","URETEROCOLON CONDUIT, INCLUDING BOW"
"1607","50820","CONSTRUCT BOWEL BLADDER            "
"1608","50821","URETEROILEAL CONDUIT (ILEAL BLADDER"
"1609","50830","REVISE URINE FLOW                  "
"1610","50840","REPLACE URETER BY BOWEL            "
"1611","50841","REPLACEMENT OF ALL OR PART OF URETE"
"1612","50845","APPENDICO-VESICOSTOMY              "
"1613","50860","TRANSPLANT URETER TO SKIN          "
"1614","50861","URETEROSTOMY, TRANSPLANTATION OF UR"
"1615","50900","REPAIR OF URETER                   "
"1616","50920","CLOSURE URETER/SKIN FISTULA        "
"1617","50930","CLOSURE URETER/BOWEL FISTULA       "
"1618","50945","LAPAROSCOPY URETEROLITHOTOMY       "
"1619","50947","LAPARO NEW URETER/BLADDER          "
"1620","50949","LAPAROSCOPE PROC URETER            "
"1621","50950","VISUALIZATION OF URETER            "
"1622","50951","ENDOSCOPY OF URETER                "
"1623","50954","VISUALIZATION/BIOPSY, URETER       "
"1624","50955","URETER ENDOSCOPY & BIOPSY          "
"1625","50956","TREATMENT OF URETER LESION         "
"1626","50957","URETER ENDOSCOPY & TREATMENT       "
"1627","50958","URETERAL ENDOSCOPY BIOPSY OFFICE   "
"1628","50959","URETERAL ENDOSCOPY THROUGH ESTABLIS"
"1629","50970","URETER ENDOSCOPY                   "
"1630","50972","URETER ENDOSCOPY & CATHETER        "
"1631","50978","URETERAL ENDOSCOPY THROUGH URETEROT"
"1632","5100F","RSK FX REF W/N 24 HRS XRAY"
"1633","51000","ASPIRATION OF BLADDER BY NEEDLE    "
"1634","51005","DRAINAGE OF BLADDER                "
"1635","51010","ASPIRATION OF BLADDER; WITH INSERTI"
"1636","51020","INCISE & TREAT BLADDER             "
"1637","51040","CYSTOSTOMY, CYSTOTOMY WITH DRAINAGE"
"1638","51045","INCISE BLADDER/DRAIN URETER        "
"1639","51050","REMOVAL OF BLADDER STONE           "
"1640","51065","REMOVE URETER CALCULUS             "
"1641","51080","DRAINAGE OF BLADDER ABSCESS        "
"1642","51100","DRAIN BLADDER BY NEEDLE            "
"1643","51101","DRAIN BLADDER BY TROCAR/CATH       "
"1644","51102","DRAIN BL W/CATH INSERTION          "
"1645","51500","REMOVAL OF BLADDER CYST            "
"1646","51520","REMOVAL OF BLADDER LESION          "
"1647","51525","CYSTOTOMY; FOR EXCISION OF BLADDER "
"1648","51535","REPAIR OF URETER LESION            "
"1649","51536","CYSTOTOMY FOR EXCISION, INCISION, O"
"1650","51550","PARTIAL REMOVAL OF BLADDER         "
"1651","51565","REVISE BLADDER & URETER(S)         "
"1652","51570","REMOVAL OF BLADDER                 "
"1653","51575","REMOVAL OF BLADDER & NODES         "
"1654","51580","REMOVE BLADDER/REVISE TRACT        "
"1655","51596","REMOVE BLADDER/CREATE POUCH        "
"1656","51597","REMOVAL OF PELVIC STRUCTURES       "
"1657","51600","INJECTION FOR BLADDER X-RAY        "
"1658","51605","PREPARATION FOR BLADDER XRAY       "
"1659","51700","IRRIGATION OF BLADDER              "
"1660","51701","INSERT BLADDER CATHETER            "
"1661","51702","INSERT TEMP BLADDER CATH           "
"1662","51703","INSERT BLADDER CATH COMPLEX        "
"1663","51705","CHANGE OF BLADDER TUBE             "
"1664","51715","ENDOSCOPIC INJECTION/IMPLANT       "
"1665","51720","TREATMENT OF BLADDER LESION        "
"1666","51725","SIMPLE CYSTOMETROGRAM              "
"1667","51726","COMPLEX CYSTOMETROGRAM             "
"1668","51727","CYSTOMETROGRAM W/UP                "
"1669","51728","CYSTOMETROGRAM W/VP                "
"1670","51729","CYSTOMETROGRAM W/VP&UP             "
"1671","51730","COMPLEX CMG/ABDOM&VOIDING PRESSURE "
"1672","51731","CMG PRE/POST RX TESTING WITH GAS   "
"1673","51732","CMG PRE/POST RX TESTING WITH LIQUID"
"1674","51733","CMG PRE/POST NERVE BLOCK GAS OR LIQ"
"1675","51736","URINE FLOW MEASUREMENT             "
"1676","51737","UFR PRE/POST RX TESTING            "
"1677","51738","UFR POST NERVE BLOCK               "
"1678","51739","SOUND RECORDING OF EXTERNAL STREAM "
"1679","51740","MEASUREMENT BLADDER PRESSURE       "
"1680","51741","ELECTRO-UROFLOWMETRY FIRST         "
"1681","51742","UFR ELECTRONIC RECORDING ADDITIONAL"
"1682","51743","UFR ELECT PRE/POST RX TESTING      "
"1683","51744"," ELECTRONIC UROFLOWMETRY (EG, CALIB"
"1684","51746","UFR COMPLEX INITIAL RECORDING      "
"1685","51747","UFR COMPLEX ADDITIONAL RECORDINGS  "
"1686","51748","UFR COMPLEX PRE/POST RX TESTING    "
"1687","51749","UFR COMPLEX PRE/POST NERVE BLOCK   "
"1688","51750","KIDNEY OUTPUT EVALUATIONS          "
"1689","51751","PULSED DOPPLER OF URETHRA ONE VOID "
"1690","51752","DOPPLER OF URETHRA ADDITIONAL VOID "
"1691","51753","DOPPLER URETHRA ADD TRANS ONE VOID "
"1692","51754","DOPPLER URETHRA ADD TRANS ADD VOIDS"
"1693","51755","DOPPLER URETHRA PRE/POST RX ONE TRA"
"1694","51756","DOPPLER URETHRA PRE/POST NERVE BLOC"
"1695","51758","ROTATING SCAN DOKPPLER URETHRA     "
"1696","51759","ROTATING DOPPLER ADDITIONAL VOIDING"
"1697","51761","ACOUSTICAL MEASURE URETHRA ONE VOID"
"1698","51762","SOUND MEASURE URETHRA ADD VOID     "
"1699","51763","SOUND MEASURE URETHRA ADD TRANSDUCE"
"1700","51764","SOUND MEASURE URETHRA ADD TRANS&VOI"
"1701","51765","SOUND MEASURE URETHRA PRE/POST RX  "
"1702","51766","SOUND MEASURE URETHRA PRE/POST NERV"
"1703","51768","URETHRAL FLUID CONDUCTANCE MEASURE "
"1704","51769","URETHRAL CONDUCTANCE ADD LOCATIONS "
"1705","51772","URETHRAL PRESSURE PROFILE STUDIES ("
"1706","51773","UPP GAS OR LIQUID ADDIT RECORDINGS "
"1707","51774","UPP GAS/LIQUID BLADDER PRESS INITIA"
"1708","51775","UPP GAS/LIQUID BLADDER PRESS ADDIT "
"1709","51776","UPP GAS/LIQ INTRA-ABD PRESS INITIAL"
"1710","51777","UPP GAS/LIQ INTR-ABD PRESS ADDITION"
"1711","51779","UPP GAS/LIQ INTRA-ABD PRESS ADDITIO"
"1712","51780","UPP GAS/LIQ PRE/POST RX TESTING    "
"1713","51781","UPP GAS/LIQ PRE/POST RX TEST ADDIT "
"1714","51782","UPP GAS/LIQ PRE/POST NERVE SIX RECS"
"1715","51783","UPP GAS/LIQ PRE/POST NERVE ADDITION"
"1716","51784","ELECTROMYOGRAPHY STUDIES (EMG) OF A"
"1717","51785","NEEDLE ELECTROMYOGRAPHY STUDIES (EM"
"1718","51787","EMG DURING UFR                     "
"1719","51788","EMG DURING CMG AND UFR             "
"1720","51789","EMG ADDITIONAL LEADS               "
"1721","51790","EMG PRE/POST RX TESTING            "
"1722","51791","EMG PRE/POST NERVE BLOCK           "
"1723","51792","URINARY REFLEX STUDY               "
"1724","51795","VOIDING PRESSURE STUDIES (VP); BLAD"
"1725","51796","VOIDING PRESSURE PER SUPRAPUBIC PUN"
"1726","51797","INTRAABDOMINAL PRESSURE TEST       "
"1727","51798","US URINE CAPACITY MEASURE          "
"1728","51800","REVISION OF BLADDER/URETHRA        "
"1729","51820","REVISION OF URINARY TRACT          "
"1730","51840","ATTACH BLADDER/URETHRA             "
"1731","51845","REPAIR BLADDER NECK                "
"1732","51860","REPAIR OF BLADDER WOUND            "
"1733","51880","REPAIR OF BLADDER OPENING          "
"1734","51900","REPAIR BLADDER/VAGINA LESION       "
"1735","51920","CLOSE BLADDER-UTERUS FISTULA       "
"1736","51925","HYSTERECTOMY/BLADDER REPAIR        "
"1737","51940","CORRECTION OF BLADDER DEFECT       "
"1738","51960","REVISION OF BLADDER & BOWEL        "
"1739","51980","CONSTRUCT BLADDER OPENING          "
"1740","51990","LAPARO URETHRAL SUSPENSION         "
"1741","51992","LAPARO SLING OPERATION             "
"1742","51999","LAPAROSCOPE PROC BLA               "
"1743","5200F","EVAL APPROS SURG THXPY EPI         "
"1744","52000","CYSTOSCOPY                         "
"1745","52001","CYSTOSCOPY REMOVAL OF CLOTS        "
"1746","52005","CYSTOSCOPY & URETER CATHETER       "
"1747","52007","CYSTOSCOPY AND BIOPSY              "
"1748","52010","CYSTOSCOPY & DUCT CATHETER         "
"1749","52105","CYSTOSCOPY/URETERAL CATHETER       "
"1750","52107","CYSTOURETHROSCOPY HOSP URETERAL CAT"
"1751","52110","CYSTOSCOPY/DUCT CATHETER           "
"1752","52190","KIDNEY FUNCTION TEST               "
"1753","52200","CYSTOSCOPY & BIOPSY                "
"1754","52202","CYSTOURETHROSCOPY WI BIOPSY HOSPITA"
"1755","52204","CYSTOSCOPY W/BIOPSY(S)             "
"1756","52212","CYSTOURETHROSCOPY-FULGURATION HOSP "
"1757","52214","CYSTOSCOPY AND TREATMENT           "
"1758","52222","CYSTOURETHROSCOPY LESS .5 CM HOSP"
"1759","52232","CYSTOURETHROSCOPY .5-2. CM HOSPITAL"
"1760","52250","CYSTOSCOPY AND RADIOTRACER         "
"1761","52270","CYSTOSCOPY & REVISE URETHRA        "
"1762","52277","CYSTOURETHROSCOPY, WITH RESECTION O"
"1763","52280","CYSTOURETHROSCOPY/HOSPITAL         "
"1764","52282","CYSTOSCOPY IMPLANT STENT           "
"1765","52287","CYSTOSCOPY CHEMODENERVATION        "
"1766","52305","CYSTOURETHROSCOPY; WITH INCISION OR"
"1767","52317","REMOVE BLADDER STONE               "
"1768","52325","CYSTOSCOPY STONE REMOVAL           "
"1769","52327","CYSTOSCOPY INJECT MATERIAL         "
"1770","52334","CREATE PASSAGE TO KIDNEY           "
"1771","52335","CYSTOURETHROSCOPY, WITH URETEROSCOP"
"1772","52340","CYSTOURETHROSCOPY WITH INCISION, FU"
"1773","52341","CYSTO W/URETER STRICTURE TX        "
"1774","52342","CYSTO W/UP STRICTURE TX            "
"1775","52343","CYSTO W/RENAL STRICTURE TX         "
"1776","52344","CYSTO/URETERO STRICTURE TX         "
"1777","52345","CYSTO/URETERO W/UP STRICTURE       "
"1778","52346","CYSTOURETERO W/RENAL STRICT        "
"1779","52347","CYSTOURETHROSCOPY WITH TRANSURETHRA"
"1780","52351","CYSTOURETERO & OR PYELOSCOPE       "
"1781","52352","CYSTOURETERO W/STONE REMOVE        "
"1782","52353","CYSTOURETERO W/LITHOTRIPSY         "
"1783","52354","CYSTOURETERO W/BIOPSY              "
"1784","52355","CYSTOURETERO W/EXCISE TUMOR        "
"1785","52356","CYSTO/URETERO W/LITHOTRIPSY        "
"1786","52400","CYSTOURETERO W/CONGEN REPR         "
"1787","52402","CYSTOURETHRO CUT EJACUL DUCT       "
"1788","52441","CYSTOURETHRO W/IMPLANT             "
"1789","52442","CYSTOURETHRO W/ADDL IMPLANT        "
"1790","52450","INCISION OF PROSTATE               "
"1791","5250F","ASTHMA DISCHARGE PLAN PRESNT       "
"1792","52500","REVISION OF BLADDER NECK           "
"1793","52510","DILATION PROSTATIC URETHRA         "
"1794","52601","PROSTATECTOMY (TURP)               "
"1795","52605","CONTROL POSTOP BLEEDING            "
"1796","52606","TRANSURETHRAL FULGURATION FOR POSTO"
"1797","52612","TRANSURETHRAL RESECTION OF PROSTATE"
"1798","52620","TRANSURETHRAL RESECTION; OF RESIDUA"
"1799","52630","REMOVE PROSTATE REGROWTH           "
"1800","52640","RELIEVE BLADDER CONTRACTURE        "
"1801","52647","LASER SURGERY OF PROSTATE          "
"1802","52649","PROSTATE LASER ENUCLEATION         "
"1803","52650","TRANSURETHRAL CRYOSURGICAL REMOVAL "
"1804","52700","DRAINAGE OF PROSTATE ABSCESS       "
"1805","53000","INCISION OF URETHRA                "
"1806","53020","MEATOTOMY, CUTTING OF MEATUS (SEPAR"
"1807","53021","REVISION OF URETHRA                "
"1808","53040","DRAINAGE OF URETHRA ABSCESS        "
"1809","53080","DRAINAGE OF URINARY LEAKAGE        "
"1810","53200","BIOPSY OF URETHRA                  "
"1811","53210","REMOVAL OF URETHRA                 "
"1812","53220","TREATMENT OF URETHRA LESION        "
"1813","53230","REMOVAL OF URETHRA LESION          "
"1814","53240","SURGERY FOR URETHRA POUCH          "
"1815","53250","REMOVAL OF URETHRA GLAND           "
"1816","53275","REPAIR OF URETHRA DEFECT           "
"1817","53400","REVISE URETHRA STAGE 1"
"1818","53405","REVISE URETHRA STAGE 2"
"1819","53410","RECONSTRUCTION OF URETHRA          "
"1820","53420","RECONSTRUCT URETHRA STAGE 1"
"1821","53425","RECONSTRUCT URETHRA STAGE 2"
"1822","53431","RECONSTRUCT URETHRA/BLADDER        "
"1823","53440","MALE SLING PROCEDURE               "
"1824","53442","REMOVE/REVISE MALE SLING           "
"1825","53443","URETHROPLASTY WITH TUBULARIZATION O"
"1826","53444","INSERT TANDEM CUFF                 "
"1827","53445","INSERT URO/VES NCK SPHINCTER       "
"1828","53446","REMOVE URO SPHINCTER               "
"1829","53447","REMOVE/REPLACE UR SPHINCTER        "
"1830","53448","REMOV/REPLC UR SPHINCTR COMP       "
"1831","53449","REPAIR URO SPHINCTER               "
"1832","53451","TPRNL BALO CNTNC DEV BI            "
"1833","53452","TPRNL BALO CNTNC DEV UNI           "
"1834","53453","TPRNL BALO CNTNC DEV RMVL EA       "
"1835","53454","TPRNL BALO CNTNC DEV ADJMT         "
"1836","53500","URETHRLYS TRANSVAG W/ SCOPE        "
"1837","53502","REPAIR OF URETHRA INJURY           "
"1838","53600","DILATE URETHRA STRICTURE           "
"1839","53640","PASSAGE OF FILIFORM AND FOLLOWER FO"
"1840","53660","DILATION OF URETHRA                "
"1841","53670","CATHETERIZATION, URETHRA; SIMPLE   "
"1842","53675","CATHETERIZATION, URETHRA; COMPLICAT"
"1843","53800","TWO OR THREE GLASS TEST INCLUDING E"
"1844","53850","PROSTATIC MICROWAVE THERMOTX       "
"1845","53852","PROSTATIC RF THERMOTX              "
"1846","53853","TRANSURETHRAL DESTRUCTION OF PROSTA"
"1847","53854","TRURL DSTRJ PRST8 TISS RF WV"
"1848","53855","INSERT PROST URETHRAL STENT        "
"1849","53860","TRANSURETHRAL RF TREATMENT         "
"1850","53899","UROLOGY SURGERY PROCEDURE          "
"1851","54000","SLITTING OF PREPUCE                "
"1852","54015","INCISION AND DRAINAGE OF PENIS, DEE"
"1853","54050","DESTRUCTION PENIS LESION(S)        "
"1854","54056","CRYOSURGERY PENIS LESION(S)        "
"1855","54057","LASER SURG PENIS LESION(S)         "
"1856","54060","EXCISION OF PENIS LESION(S)        "
"1857","54100","BIOPSY OF PENIS                    "
"1858","54110","TREATMENT OF PENIS LESION          "
"1859","54111","TREAT PENIS LESION GRAFT           "
"1860","54120","AMPUTATION OF PENIS; PARTIAL       "
"1861","54125","REMOVAL OF PENIS                   "
"1862","54130","REMOVE PENIS & NODES               "
"1863","54150","CIRCUMCISION W/REGIONL BLOCK       "
"1864","54152","CIRCUMCISION, USING CLAMP OR OTHER "
"1865","54154","CIRCUMCISION EXCEPT NEWBORN HOSPITA"
"1866","54160","CIRCUMCISION NEONATE               "
"1867","54161","CIRCUM 28 DAYS OR OLDER"
"1868","54162","LYSIS PENIL CIRCUMIC LESION        "
"1869","54163","REPAIR OF CIRCUMCISION             "
"1870","54164","FRENULOTOMY OF PENIS               "
"1871","54220","IRRIGATION OF CORPORA CAVERNOSA FOR"
"1872","54230","PREPARE PENIS STUDY                "
"1873","54231","DYNAMIC CAVERNOSOMETRY             "
"1874","54235","PENILE INJECTION                   "
"1875","54240","PENILE PLETHYSMOGRAPHY             "
"1876","54250","NOCTURNAL PENILE TUMESCENCE AND/OR "
"1877","54300","REVISION OF PENIS                  "
"1878","54320","RECONSTRUCT URETHRA                "
"1879","54328","REVISE PENIS/URETHRA               "
"1880","54340","RPR HYPSPAD COMP SIMPLE            "
"1881","54344","RRP HYPSPAD COMP MOBLJ&URTP        "
"1882","54348","RPR HYPSPAD COMP DSJ & URTP        "
"1883","54352","REVJ PRIOR HYPSPAD REPAIR          "
"1884","54360","PENIS PLASTIC SURGERY              "
"1885","54380","REPAIR PENIS                       "
"1886","54390","REPAIR PENIS AND BLADDER           "
"1887","54400","INSERT SEMI-RIGID PROSTHESIS       "
"1888","54401","INSERT SELF-CONTD PROSTHESIS       "
"1889","54402","REMOVAL OR REPLACEMENT OF NON-INFLA"
"1890","54405","INSERT MULTI-COMP PENIS PROS       "
"1891","54406","REMOVE MUTI-COMP PENIS PROS        "
"1892","54407","REMOVAL, REPAIR, OR REPLACEMENT OF "
"1893","54408","REPAIR MULTI-COMP PENIS PROS       "
"1894","54409","SURGICAL CORRECTION OF HYDRAULIC AB"
"1895","54410","REMOVE/REPLACE PENIS PROSTH        "
"1896","54411","REMOV/REPLC PENIS PROS COMP        "
"1897","54415","REMOVE SELF-CONTD PENIS PROS       "
"1898","54416","REMV/REPL PENIS CONTAIN PROS       "
"1899","54417","REMV/REPLC PENIS PROS COMPL        "
"1900","54430","CORPORA CAVERNOSA-CORPUS SPONGIOSUM"
"1901","54437","REPAIR CORPOREAL TEAR              "
"1902","54438","REPLANTATION OF PENIS              "
"1903","54440","REPAIR OF PENIS                    "
"1904","54450","FORESKIN MANIPULATION INCLUDING LYS"
"1905","54500","BIOPSY OF TESTIS                   "
"1906","54506","BIOPSY OF TESTIS, INCISIONAL (SEPAR"
"1907","54510","EXCISION OF LOCAL LESION OF TESTIS "
"1908","54512","EXCISE LESION TESTIS               "
"1909","54520","REMOVAL OF TESTIS                  "
"1910","54521","ORCHIECTOMY, SIMPLE (INCLUDING SUBC"
"1911","54522","ORCHIECTOMY PARTIAL                "
"1912","54535","EXTENSIVE TESTIS SURGERY           "
"1913","54550","EXPLORATION FOR TESTIS             "
"1914","54555","EXPLORATION FOR UNDESCENDED TESTIS "
"1915","54600","REDUCTION OF TORSION OF TESTIS, SUR"
"1916","54620","SUSPENSION OF TESTIS               "
