"","PROC.CODE","PROCEDURE.DESCRIPTION"
"292","19318","BREAST REDUCTION                   "
"293","19324","ENLARGE BREAST                     "
"294","19325","BREAST AUGMENTATION W/IMPLT        "
"295","19328","RMVL INTACT BREAST IMPLANT         "
"296","19330","RMVL RUPTURED BREAST IMPLANT       "
"297","19331","REMOVAL OF IMPLANT MATERIAL        "
"298","19340","INSJ BREAST IMPLT SM D MAST        "
"299","19342","INSJ/RPLCMT BRST IMPLT SEP D       "
"300","19350","NIPPLE/AREOLA RECONSTRUCTION       "
"301","19351","BREAST RECONSTRUCTION              "
"302","19355","CORRECT INVERTED NIPPLE(S)         "
"303","19357","TISS XPNDR PLMT BRST RCNSTJ        "
"304","19360","BREAST RECONSTRUCTION WITH MUSCLE O"
"305","19361","BRST RCNSTJ LATSMS DRSI FLAP       "
"306","19362","BREAST RECONSTRUCTION WITH TRANSVER"
"307","19364","BRST RCNSTJ FREE FLAP              "
"308","19366","BREAST RECONSTRUCTION WITH OTHER TE"
"309","19367","BRST RCNSTJ 1 PDCL TRAM FLAP"
"310","19368","BRST RCNSTJ 1PDCL TRAM ANAST"
"311","19369","BRST RCNSTJ 2 PDCL TRAM FLAP"
"312","19370","REVJ PERI-IMPLT CAPSULE BRST       "
"313","19371","PERI-IMPLT CAPSLC BRST COMPL       "
"314","19380","REVJ RECONSTRUCTED BREAST          "
"315","19396","PREPARATION OF MOULAGE FOR CUSTOM B"
"316","19499","BREAST SURGERY PROCEDURE           "
"317","19633","BREAST RECONSTRUCTION/OTHER TECNIQU"
"318","2000F","BLOOD PRESSURE MEASURE             "
"319","20000","INCISION OF SOFT TISSUE ABSCESS (EG"
"320","20005","I&D ABSCESS SUBFASCIAL             "
"321","2001F","WEIGHT RECORD                      "
"322","2002F","CLIN SIGN VOL OVRLD ASSESS         "
"323","2003F","AUSCULTATION HEART PERFORM         "
"324","2004F","INITIAL EXAM INVOLVED JOINTS       "
"325","2010F","VITAL SIGNS RECORDED               "
"326","20100","EXPLORE WOUND NECK                 "
"327","20101","EXPLORE WOUND CHEST                "
"328","20102","EXPLORE WOUND ABDOMEN              "
"329","20103","EXPLORE WOUND EXTREMITY            "
"330","2014F","MENTAL STATUS ASSESS               "
"331","2015F","ASTHMA IMPAIRMENT ASSESSED         "
"332","20150","EXCISION OF EPIPHYSEAL BAR, WITH OR"
"333","2016F","ASTHMA RISK ASSESSED               "
"334","2018F","HYDRATION STATUS ASSESS            "
"335","2019F","DILATED MACUL EXAM DONE            "
"336","2020F","DILATED FUNDUS EVAL DONE           "
"337","20200","BIOPSY, MUSCLE; SUPERFICIAL        "
"338","20205","BIOPSY, MUSCLE; DEEP               "
"339","20206","NEEDLE BIOPSY MUSCLE               "
"340","2021F","DILAT MACULOR EXAM DONE            "
"341","2022F","DILAT RTA XM EVC RTNOPTHY          "
"342","20220","BONE BIOPSY TROCAR/NEEDLE          "
"343","2023F","DILAT RTA XM W/O RTNOPTHY          "
"344","2024F","7 FLD RTA PHOTO EVC RTNOPTHY"
"345","20240","BONE BIOPSY OPEN SUPERFICIAL       "
"346","20245","BONE BIOPSY OPEN DEEP              "
"347","2025F","7 FLD RTA PHOTO W/O RTNOPTHY"
"348","20250","OPEN BONE BIOPSY                   "
"349","37609","TEMPORAL ARTERY PROCEDURE          "
"350","37615","LIGATION, MAJOR ARTERY (EG, POST-TR"
"351","37618","LIGATION OF EXTREMITY ARTERY       "
"352","37619","LIGATION OF INF VENA CAVA          "
"353","3762F","PATIENT IS DYSARTHRIC              "
"354","37620","INTERRUPTION, PARTIAL OR COMPLETE, "
"355","3763F","PATIENT IS NOT DYSARTHRIC          "
"356","37650","REVISION OF MAJOR VEIN             "
"357","37700","REVISE LEG VEIN                    "
"358","37701","LIGATION AND DIVISION OF LONG SAPHE"
"359","37718","LIGATE/STRIP SHORT LEG VEIN        "
"360","37720","LIGATION AND DIVISION AND COMPLETE "
"361","37722","LIGATE/STRIP LONG LEG VEIN         "
"362","37735","REMOVAL OF LEG VEINS/LESION        "
"363","3775F","ADENOMA DETECTED SCREENING         "
"364","3776F","ADENOMA NOT DETECT SCREENING       "
"365","37760","LIGATE LEG VEINS RADICAL           "
"366","37761","LIGATE LEG VEINS OPEN              "
"367","37765","STAB PHLEB VEINS XTR 10-20"
"368","37766","PHLEB VEINS - EXTREM 20+"
"369","37780","REVISION OF LEG VEIN               "
"370","37781","LIGATION AND DIVISION OF SHORT SAPH"
"371","37785","LIGATE/DIVIDE/EXCISE VEIN          "
"372","37787","LIGATION, DIVISION, AND/OR EXCISION"
"373","37788","REVASCULARIZATION PENIS            "
"374","37790","PENILE VENOUS OCCLUSION            "
"375","37799","VASCULAR SURGERY PROCEDURE         "
"376","38090","PUNCTURE SPLEEN                    "
"377","38100","REMOVAL OF SPLEEN TOTAL            "
"378","38101","REMOVAL OF SPLEEN PARTIAL          "
"379","38115","REPAIR OF RUPTURED SPLEEN (SPLENORR"
"380","38120","LAPAROSCOPY SPLENECTOMY            "
"381","38129","LAPAROSCOPE PROC SPLEEN            "
"382","38200","INJECTION FOR SPLEEN X-RAY         "
"383","38204","MANAGEMENT OF RECIPIENT HEMATOPOIET"
"384","38205","HARVEST ALLOGENEIC STEM CELL       "
"385","38206","BLOOD-DERIVED HEMATOPOIETIC PROGENI"
"386","38207","CRYOPRESERVE STEM CELLS            "
"387","38208","THAW PRESERVED STEM CELLS          "
"388","38209","WASH HARVEST STEM CELLS            "
"389","38210","TRANSPLANT PREPARATION OF HEMATOPOI"
"390","38211","TUMOR CELL DEPLETE OF HARVST       "
"391","38214","VOLUME DEPLETE OF HARVEST          "
"392","38215","HARVEST STEM CELL CONCENTRTE       "
"393","38220","DX BONE MARROW ASPIRATIONS         "
"394","38221","DX BONE MARROW BIOPSIES            "
"395","38222","DX BONE MARROW BX & ASPIR          "
"396","38230","BONE MARROW HARVEST ALLOGEN        "
"397","38231","BLOOD-DERIVED PERIPHERAL STEM CELL "
"398","38232","BONE MARROW HARVEST AUTOLOG        "
"399","38240","TRANSPLT ALLO HCT/DONOR            "
"400","38241","TRANSPLT AUTOL HCT/DONOR           "
"401","38242","TRANSPLT ALLO LYMPHOCYTES          "
"402","38243","TRANSPLJ HEMATOPOIETIC BOOST       "
"403","38300","DRAINAGE LYMPH NODE LESION         "
"404","38308","INCISION OF LYMPH CHANNELS         "
"405","38380","THORACIC DUCT PROCEDURE            "
"406","38500","BIOPSY/REMOVAL LYMPH NODES         "
"407","38505","NEEDLE BIOPSY LYMPH NODES          "
"408","38531","OPEN BX/EXC INGUINOFEM NODES       "
"409","38540","DISSECTION; DEEP CERVICAL NODE     "
"410","38542","EXPLORE DEEP NODE(S) NECK          "
"411","38550","REMOVAL NECK/ARMPIT LESION         "
"412","38562","REMOVAL PELVIC LYMPH NODES         "
"413","38564","REMOVAL ABDOMEN LYMPH NODES        "
"414","38570","LAPAROSCOPY LYMPH NODE BIOP        "
"415","38571","LAPAROSCOPY LYMPHADENECTOMY        "
"416","38573","LAPS PELVIC LYMPHADEC              "
"417","38589","LAPAROSCOPE PROC LYMPHATIC         "
"418","38700","REMOVAL OF LYMPH NODES NECK        "
"419","38701","SUPRAHYOID LYMPHADENECTOMY; BILATER"
"420","38721","CERVICAL LYMPHADENECTOMY (COMPLETE)"
"421","38740","REMOVE ARMPIT LYMPH NODES          "
"422","38746","REMOVE THORACIC LYMPH NODES        "
"423","38747","REMOVE ABDOMINAL LYMPH NODES       "
"424","38760","REMOVE GROIN LYMPH NODES           "
"425","38761","INGUINOFEMORAL LYMPHADENECTOMY, SUP"
"426","38770","REMOVE PELVIS LYMPH NODES          "
"427","38771","PELVIC LYMPHADENECTOMY, INCLUDING E"
"428","38780","REMOVE ABDOMEN LYMPH NODES         "
"429","38790","INJECT FOR LYMPHATIC X-RAY         "
"430","38791","INJECTION PROCEDURE FOR LYMPHANGIOG"
"431","38792","RA TRACER ID OF SENTINL NODE       "
"432","38794","ACCESS THORACIC LYMPH DUCT         "
"433","38900","IO MAP OF SENT LYMPH NODE          "
"434","38999","BLOOD/LYMPH SYSTEM PROCEDURE       "
"435","39000","EXPLORATION OF CHEST               "
"436","39020","MEDIASTINOTOMY WITH EXPLORATION, DR"
"437","39050","REMOVAL OF FOREIGN BODY, MEDIASTINU"
"438","39200","RESECT MEDIASTINAL CYST            "
"439","39220","RESECT MEDIASTINAL TUMOR           "
"440","39400","MEDIASTINOSCOPY INCL BIOPSY        "
"441","39401","MEDIASTINOSCPY W/MEDSTNL BX        "
"442","39402","MEDIASTINOSCPY W/LMPH NOD BX       "
"443","39499","CHEST PROCEDURE                    "
"444","39500","REPAIR OF DIAPHRAGM HERNIA         "
"445","39501","REPAIR DIAPHRAGM LACERATION        "
"446","39502","REPAIR, PARAESOPHAGEAL HIATUS HERNI"
"447","39520","REPAIR, DIAPHRAGMATIC HERNIA (ESOPH"
"448","39545","REVISION OF DIAPHRAGM              "
"449","39547","IMBRICATION OF DIAPHRAGM FOR EVENTR"
"450","39560","RESECT DIAPHRAGM SIMPLE            "
"451","39561","RESECT DIAPHRAGM COMPLEX           "
"452","39599","DIAPHRAGM SURGERY PROCEDURE        "
"453","4000F","TOBACCO USE TXMNT COUNSELING       "
"454","4001F","TOBACCO USE TXMNT PHARMACOL        "
"455","4002F","STATIN THERAPY RX                  "
"456","4003F","PT ED WRITE/ORAL PTS W/ HF         "
"457","4004F","PT TOBACCO SCREEN RCVD TLK         "
"458","4005F","PHARM THX FOR OP RXD               "
"459","4006F","BETA-BLOCKER THERAPY RX            "
"460","4007F","ANTIOX VIT/MIN SUPP RXD            "
"461","4008F","BETA-BLOCKER THERAPY RXD/TKN       "
"462","4009F","ACE/ARB INHIBITOR THERAPY RX       "
"463","4010F","ACE/ARB THERAPY RXD/TAKEN          "
"464","4011F","ORAL ANTIPLATELET THERAPY RX       "
"465","4012F","WARFARIN THERAPY RX                "
"466","4013F","STATIN THERAPY/CURRENTLY TKN       "
"467","4014F","WRITTEN DISCHARGE INSTR PRVD       "
"468","4015F","PERSIST ASTHMA MEDICINE CTRL       "
"469","4016F","ANTI-INFLM/ANLGSC AGENT RX         "
"470","4017F","GI PROPHYLAXIS FOR NSAID RX        "
"471","4018F","THERAPY EXERCISE JOINT RX          "
"472","4019F","DOC RECPT COUNSL VIT D/CALC+       "
"473","4025F","INHALED BRONCHODILATOR RX          "
"474","4030F","OXYGEN THERAPY RX                  "
"475","4033F","PULMONARY REHAB REC                "
"476","4035F","INFLUENZA IMM REC                  "
